consumer_id,timestamp,voltage_v,current_a,power_factor,energy_consumption_kwh,peak_load_kw,theft_label,hour_of_day,meter_reading_kwh,anomaly_score
9533729023,2025-12-03T00:25:57.345Z,238.3,31.32,0.76,0.94,3.5,0,16,8649.38,51.2
6625481364,2026-03-14T22:06:07.277Z,221.7,10.87,0.85,10.63,0.97,1,0,6003.2,46.3
3775942585,2025-09-18T05:47:26.229Z,218.3,4.16,0.85,8.88,5.49,1,2,8497.77,45.6
3110051167,2026-04-14T20:46:54.005Z,228.6,14.78,0.96,7.31,5.18,0,9,5443.87,15.1
7133964976,2025-11-05T08:57:28.913Z,231.8,0.64,0.71,11.74,0.92,0,4,6131.4,5.1
4611867733,2025-12-28T05:48:44.219Z,244.2,3.78,0.62,5.1,5.05,0,1,3184.76,34.8
0568226105,2025-10-11T13:08:48.236Z,217.9,25.71,0.76,6.8,2.57,0,15,4302.19,55.4
3524127085,2026-05-14T11:49:29.242Z,217.8,33.34,0.68,9.47,2.95,0,21,9661.34,29.7
0707578677,2025-09-07T20:09:57.568Z,222.3,54.73,0.6,11.16,4.66,1,22,9805.04,85.3
6245709465,2025-08-05T23:49:16.577Z,228.1,36.48,0.88,10.59,5.42,0,5,1686.42,6.1
5746637011,2026-05-01T01:42:22.728Z,236.3,38.8,0.85,8.1,5.24,0,6,1645.64,30.9
5619807812,2025-12-04T11:14:54.546Z,244.5,42.66,0.71,3.91,4,1,4,4163.57,39.8
2435177624,2026-03-31T19:29:20.724Z,223.9,41.15,0.83,9.69,3.61,0,20,1433.43,40.7
3086296116,2026-01-13T20:20:06.530Z,212.7,56.2,0.61,3.39,1.2,1,8,5276.59,26.6
9121533636,2025-11-18T21:19:19.625Z,247.1,15.61,0.81,8.72,3.62,0,9,2361.81,77.8
6861163231,2025-11-10T13:53:15.539Z,210,0.97,0.81,5,0.15,1,8,9893.71,99.9
2342495651,2026-04-22T20:55:19.711Z,238.1,16.08,0.93,4.75,3.48,1,8,5125.5,26.5
